               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085079,            0.026905,            0.036409,             0.47636,             0.43403,              0.2922,             0.12491,            0.057783,            0.011239,            0.033307,            0.070337,           0.0032959,           0.0032959
                   1,            0.057685,             0.02029,             0.03099,             0.31732,             0.66319,             0.40832,             0.16781,             0.05443,           0.0071588,             0.03262,            0.040243,           0.0065355,           0.0065355
                   2,            0.054843,            0.017053,             0.03031,             0.25649,             0.55556,             0.38669,             0.10852,             0.06552,           0.0061615,            0.029798,            0.010055,           0.0096807,           0.0096807
                   3,            0.050025,            0.014908,            0.026672,             0.77997,             0.47917,             0.54283,             0.22358,            0.050132,           0.0058239,            0.018624,           0.0095757,           0.0095757,           0.0095757
                   4,            0.046935,            0.013977,            0.020835,             0.65851,             0.69654,             0.70683,             0.25694,            0.055256,           0.0055583,            0.010418,           0.0095757,           0.0095757,           0.0095757
                   5,             0.04444,            0.013181,            0.016197,             0.70662,              0.9059,             0.91774,             0.48507,             0.03871,           0.0055339,           0.0066997,           0.0094343,           0.0094343,           0.0094343
                   6,            0.042364,            0.012594,             0.01401,             0.88458,             0.85103,             0.92338,             0.47423,            0.038778,           0.0053372,            0.010209,           0.0092929,           0.0092929,           0.0092929
                   7,            0.042162,            0.012908,            0.012088,             0.90598,             0.90278,             0.96656,             0.51802,             0.03885,           0.0048141,           0.0043419,           0.0091514,           0.0091514,           0.0091514
                   8,            0.040263,            0.012451,            0.010269,              0.9484,             0.83014,             0.96602,             0.57906,            0.034195,            0.004853,           0.0068401,             0.00901,             0.00901,             0.00901
                   9,            0.039171,            0.012091,            0.010187,             0.87189,              0.9445,             0.97764,             0.38624,            0.040153,           0.0049568,           0.0082357,           0.0088686,           0.0088686,           0.0088686
                  10,            0.038255,            0.012142,            0.010623,             0.87173,             0.95833,             0.96218,             0.65552,            0.029119,           0.0046377,            0.006665,           0.0087271,           0.0087271,           0.0087271
                  11,            0.038362,            0.012412,            0.010632,             0.92705,              0.9402,             0.98143,             0.63469,            0.033533,             0.00473,           0.0049184,           0.0085857,           0.0085857,           0.0085857
                  12,            0.037725,            0.012253,           0.0099407,             0.94849,             0.97471,             0.98148,             0.49786,            0.036075,           0.0046508,           0.0038541,           0.0084443,           0.0084443,           0.0084443
                  13,            0.037191,            0.012009,           0.0093044,             0.92461,              0.9496,             0.97725,             0.69448,            0.026147,           0.0042423,            0.004848,           0.0083029,           0.0083029,           0.0083029
                  14,             0.03616,            0.011438,           0.0079669,             0.93623,             0.97232,             0.98055,             0.68961,            0.027113,           0.0042385,           0.0049577,           0.0081614,           0.0081614,           0.0081614
                  15,            0.035759,            0.011627,           0.0078211,               0.947,             0.98236,             0.99111,             0.69356,            0.030017,            0.004319,            0.003154,             0.00802,             0.00802,             0.00802
                  16,            0.035522,             0.01129,           0.0083404,             0.95711,             0.94469,             0.98419,             0.66993,            0.028858,           0.0040843,           0.0037668,           0.0078786,           0.0078786,           0.0078786
                  17,            0.034545,            0.011542,            0.007327,             0.91648,             0.93393,             0.97207,             0.70889,             0.02752,           0.0041028,           0.0060625,           0.0077371,           0.0077371,           0.0077371
                  18,            0.034245,            0.011269,           0.0077196,             0.97302,             0.96572,             0.99052,             0.66027,            0.027137,           0.0039726,           0.0048491,           0.0075957,           0.0075957,           0.0075957
