               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10265,            0.029119,            0.027415,          0.00020707,             0.24699,          0.00025207,          6.2448e-05,            0.092488,             0.01711,             0.02658,            0.070732,            0.003252,            0.003252
                   1,            0.093415,            0.026811,            0.026553,          0.00013131,             0.15663,          0.00027301,          8.5104e-05,            0.086805,             0.01674,            0.025601,             0.04073,           0.0065841,           0.0065841
                   2,            0.087831,             0.02587,            0.024996,          0.00075841,             0.22034,          0.00054095,          0.00014835,            0.092625,             0.01174,            0.025799,            0.010728,           0.0099148,           0.0099148
                   3,            0.081534,            0.026169,            0.022027,           0.0023534,             0.53584,           0.0043317,          0.00098637,            0.081323,            0.013563,            0.014217,           0.0099941,           0.0099941,           0.0099941
                   4,            0.074416,            0.025872,            0.017301,            0.017195,              0.2842,            0.013817,           0.0029035,             0.09562,            0.016686,             0.01824,           0.0099941,           0.0099941,           0.0099941
                   5,            0.070865,            0.025247,             0.01533,            0.016883,            0.051247,            0.011209,           0.0029725,            0.094242,            0.017455,            0.017229,           0.0099921,           0.0099921,           0.0099921
                   6,            0.067461,            0.024956,            0.014128,             0.43787,             0.41514,             0.24008,            0.073408,            0.056371,            0.012258,           0.0079473,           0.0099901,           0.0099901,           0.0099901
                   7,            0.064534,            0.023621,            0.012806,             0.49971,             0.48426,             0.33333,             0.15011,            0.054227,            0.015945,           0.0076619,           0.0099881,           0.0099881,           0.0099881
                   8,            0.061711,            0.021963,            0.011069,             0.46933,             0.35934,             0.37636,             0.12104,            0.056241,             0.01626,            0.007331,           0.0099861,           0.0099861,           0.0099861
                   9,            0.059073,             0.02246,            0.010501,             0.47927,             0.48807,              0.4373,             0.19404,            0.048853,            0.011403,           0.0056288,           0.0099842,           0.0099842,           0.0099842
                  10,            0.057493,            0.021065,           0.0096715,             0.56397,             0.47318,             0.49063,             0.21747,            0.047526,            0.010116,           0.0052701,           0.0099822,           0.0099822,           0.0099822
                  11,            0.055991,            0.020013,           0.0089908,             0.63393,             0.50671,             0.57739,             0.28458,            0.043736,            0.011522,           0.0050994,           0.0099802,           0.0099802,           0.0099802
                  12,            0.054628,            0.019153,            0.008415,              0.5997,             0.52144,             0.49403,             0.21302,            0.049386,              0.0138,           0.0049273,           0.0099782,           0.0099782,           0.0099782
                  13,            0.053009,            0.019015,           0.0089921,             0.66297,             0.63183,             0.62829,             0.30294,            0.044889,            0.011071,           0.0044748,           0.0099762,           0.0099762,           0.0099762
                  14,            0.052255,            0.019084,           0.0086768,             0.77927,             0.61555,             0.68284,             0.34026,            0.039858,           0.0093027,           0.0042884,           0.0099743,           0.0099743,           0.0099743
                  15,            0.050839,            0.017918,           0.0078548,               0.733,             0.65292,             0.68148,             0.26558,            0.044636,           0.0089126,           0.0035297,           0.0099723,           0.0099723,           0.0099723
                  16,            0.049387,            0.018015,           0.0073992,             0.69566,              0.6063,             0.66019,             0.23494,            0.048875,           0.0089173,           0.0038968,           0.0099703,           0.0099703,           0.0099703
                  17,            0.049055,            0.017467,            0.007917,             0.74748,             0.70275,             0.74371,             0.38516,            0.037252,            0.010009,           0.0088291,           0.0099683,           0.0099683,           0.0099683
