               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10872,            0.029887,            0.038695,            0.000273,            0.071567,          0.00016139,          2.8708e-05,             0.10368,            0.018889,            0.037257,              0.0928,              0.0008,              0.0008
                   1,             0.10533,            0.028751,            0.038223,          0.00012296,            0.024729,          6.6236e-05,          1.0093e-05,            0.098707,            0.018415,            0.036964,            0.084694,           0.0016944,           0.0016944
                   2,             0.10168,            0.027906,            0.037987,          0.00010893,            0.042735,          6.3363e-05,          8.6281e-06,            0.094659,            0.019138,            0.036639,            0.076583,           0.0025828,           0.0025828
                   3,            0.097996,            0.027396,              0.0372,          0.00012346,            0.048433,          7.8058e-05,          1.3713e-05,            0.091106,            0.018239,            0.036301,            0.068465,           0.0034654,           0.0034654
                   4,            0.095698,            0.026658,              0.0366,          0.00015251,            0.059829,          0.00010143,          2.0404e-05,            0.088526,            0.018774,            0.035925,            0.060342,           0.0043419,           0.0043419
                   5,             0.09313,            0.025973,            0.036132,          0.00016703,            0.065527,          0.00010223,          2.3416e-05,            0.086986,             0.01916,            0.035532,            0.052213,           0.0052126,           0.0052126
                   6,            0.090582,            0.026086,            0.035138,          0.00014524,             0.05698,          9.2816e-05,           2.021e-05,            0.085834,            0.017975,            0.034996,            0.044077,           0.0060772,           0.0060772
                   7,            0.088708,            0.027173,            0.034051,          0.00016703,            0.065527,          0.00010662,          2.5049e-05,            0.084494,            0.018447,            0.034378,            0.035936,            0.006936,            0.006936
                   8,            0.086751,            0.024304,            0.032912,          0.00018882,            0.074074,          0.00013508,          3.3946e-05,            0.083548,            0.018871,            0.033852,            0.027789,           0.0077888,           0.0077888
                   9,            0.084516,            0.025153,            0.031337,          0.00018155,            0.071225,          0.00013959,            3.42e-05,            0.082914,            0.013943,            0.033458,            0.019636,           0.0086357,           0.0086357
                  10,            0.079265,             0.02481,            0.031029,           0.0019764,              0.1584,            0.001639,          0.00047998,            0.079929,            0.014588,            0.032607,            0.011477,           0.0094766,           0.0094766
                  11,            0.077844,            0.023921,            0.030303,            0.010473,             0.17234,            0.006418,          0.00093223,            0.078603,            0.014984,             0.03211,            0.009637,            0.009637,            0.009637
                  12,             0.06867,            0.027276,            0.028379,           0.0050402,              0.6344,            0.074441,            0.026705,            0.064401,            0.021183,            0.029663,            0.009637,            0.009637,            0.009637
                  13,             0.06704,            0.024104,            0.027765,             0.36613,             0.11501,            0.021693,           0.0061188,            0.072075,            0.026073,            0.024836,            0.009604,            0.009604,            0.009604
                  14,            0.065639,            0.025022,            0.026172,             0.40064,             0.13675,            0.065039,            0.017645,            0.066266,             0.03211,            0.029153,            0.009571,            0.009571,            0.009571
                  15,            0.065147,            0.022185,            0.026568,             0.58012,             0.26073,            0.095531,            0.027262,            0.068486,            0.019778,            0.025285,            0.009538,            0.009538,            0.009538
                  16,            0.063333,            0.023828,            0.021961,             0.49712,             0.36137,              0.1545,            0.042822,            0.070776,            0.055015,            0.030585,            0.009505,            0.009505,            0.009505
                  17,            0.062689,             0.02277,            0.019381,             0.38627,             0.31293,            0.053282,            0.013808,            0.079047,            0.043143,            0.026228,            0.009472,            0.009472,            0.009472
                  18,            0.061737,            0.021766,             0.01725,             0.41509,             0.38444,            0.084011,              0.0229,            0.083408,            0.035627,            0.014767,            0.009439,            0.009439,            0.009439
