               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10872,            0.029887,            0.038695,            0.000273,            0.071567,          0.00016139,          2.8708e-05,             0.10368,            0.018889,            0.037257,              0.0928,              0.0008,              0.0008
                   1,             0.10519,            0.028808,            0.038162,          8.6511e-05,            0.017436,          5.1978e-05,          7.4908e-06,            0.098668,            0.018425,            0.036964,            0.084698,           0.0016983,           0.0016983
                   2,             0.10169,            0.027862,            0.038094,          0.00010167,            0.039886,          5.7844e-05,          8.0471e-06,            0.094721,            0.019127,            0.036644,            0.076595,           0.0025949,           0.0025949
                   3,             0.09861,            0.027149,            0.037666,          0.00013072,            0.051282,          8.1877e-05,          1.4168e-05,             0.09105,            0.018256,            0.036282,             0.06849,           0.0034896,           0.0034896
                   4,            0.095883,            0.026445,            0.036877,          0.00013798,            0.054131,          8.7746e-05,          1.7139e-05,            0.088559,             0.01878,            0.035893,            0.060383,           0.0043826,           0.0043826
                   5,            0.093738,            0.025619,            0.036306,           0.0001475,            0.048433,          8.9656e-05,          1.8286e-05,            0.087158,            0.019155,            0.035472,            0.052274,           0.0052738,           0.0052738
                   6,            0.091146,            0.025507,            0.035188,          0.00021126,            0.058575,          0.00012509,          2.3063e-05,            0.086096,             0.01796,            0.034914,            0.044163,           0.0061632,           0.0061632
                   7,            0.087815,            0.026839,            0.034855,          0.00043682,             0.09698,          0.00025924,          5.8001e-05,            0.084734,            0.018454,            0.034309,            0.036051,           0.0070508,           0.0070508
                   8,            0.083963,            0.024372,            0.033946,          0.00054498,            0.092877,          0.00042732,          9.9256e-05,            0.083546,            0.015497,            0.033655,            0.027937,           0.0079366,           0.0079366
                   9,            0.080622,            0.025511,             0.03265,          0.00090139,            0.064274,          0.00052331,            0.000105,            0.082869,            0.013954,               0.033,            0.019821,           0.0088207,           0.0088207
                  10,            0.075321,            0.025246,            0.032366,            0.001059,             0.19305,           0.0013588,          0.00026358,            0.080591,            0.014512,            0.032304,            0.011703,            0.009703,            0.009703
                  11,            0.073797,            0.024074,            0.033013,           0.0041862,             0.53428,            0.023048,           0.0072728,            0.069424,            0.016048,            0.031023,           0.0098911,           0.0098911,           0.0098911
                  12,            0.067042,            0.026786,             0.03137,             0.34437,             0.19328,            0.012099,           0.0025623,            0.072494,            0.016263,            0.030757,           0.0098911,           0.0098911,           0.0098911
                  13,            0.063932,            0.023957,            0.031705,             0.35099,             0.03453,           0.0064686,           0.0016782,            0.080054,            0.016797,            0.033163,           0.0098812,           0.0098812,           0.0098812
                  14,            0.062613,            0.024866,            0.031363,             0.39827,            0.064957,             0.03277,             0.01124,            0.067738,            0.017962,            0.030508,           0.0098713,           0.0098713,           0.0098713
                  15,            0.061495,            0.022707,            0.033514,             0.37252,            0.072593,            0.020364,           0.0073771,            0.067396,            0.021883,            0.029924,           0.0098614,           0.0098614,           0.0098614
                  16,            0.060759,            0.024679,             0.03138,             0.36511,             0.14701,            0.027245,           0.0057973,             0.06412,             0.02098,            0.029411,           0.0098515,           0.0098515,           0.0098515
                  17,            0.056324,            0.024986,            0.030468,             0.40052,             0.18051,             0.10059,            0.022027,            0.060967,            0.021813,            0.029423,           0.0098416,           0.0098416,           0.0098416
                  18,            0.057059,            0.023205,            0.029641,             0.75145,            0.094017,             0.11342,            0.039878,             0.05409,            0.025224,            0.029819,           0.0098317,           0.0098317,           0.0098317
                  19,            0.056906,            0.022522,            0.031015,             0.41648,             0.15897,            0.080926,            0.016808,            0.065611,             0.02868,            0.029544,           0.0098218,           0.0098218,           0.0098218
                  20,            0.053848,            0.022856,            0.031464,             0.73694,             0.13675,             0.11964,            0.039164,             0.05372,            0.027183,            0.029208,           0.0098119,           0.0098119,           0.0098119
                  21,            0.053424,            0.022171,            0.029924,             0.79897,             0.10688,             0.12581,            0.036031,            0.054978,            0.028963,            0.028448,            0.009802,            0.009802,            0.009802
                  22,            0.051957,            0.021917,            0.030847,             0.84527,             0.13813,             0.18767,            0.082909,            0.046996,            0.015944,            0.027397,           0.0097921,           0.0097921,           0.0097921
                  23,            0.050912,            0.020941,            0.031162,             0.81896,             0.19413,             0.18011,            0.081447,            0.047897,            0.021178,            0.027054,           0.0097822,           0.0097822,           0.0097822
                  24,            0.049155,            0.020322,            0.030334,             0.78577,             0.20228,             0.16066,            0.061362,            0.053964,             0.02179,            0.026914,           0.0097723,           0.0097723,           0.0097723
                  25,            0.049414,            0.020098,             0.03031,             0.41354,             0.33014,             0.13826,            0.045383,            0.060249,            0.013643,            0.026493,           0.0097624,           0.0097624,           0.0097624
